Expense_ID,Date,Category,Amount,Payment_Mode,Description,Monthly_Budget,Savings,Expense_Status
1,2025-03-02,Bills,4830,Net Banking,Mobile Recharge,20000,15170,Within Budget
2,2025-02-14,Travel,3667,UPI,Train Ticket,20000,16333,Within Budget
3,2025-04-25,Entertainment,3484,Card,Concert,20000,16516,Within Budget
4,2025-06-09,Health,3388,Net Banking,Medical Store,20000,16612,Within Budget
5,2025-05-21,Entertainment,2822,UPI,Gaming,20000,17178,Within Budget
6,2025-06-23,Travel,2665,Card,Bus Tickets,20000,17335,Within Budget
7,2025-01-24,Travel,2875,Cash,Train Ticket,20000,17125,Within Budget
8,2025-02-15,Education,4154,Net Banking,Online Course,20000,15846,Within Budget
9,2025-04-11,Health,2220,UPI,Medical Store,20000,17780,Within Budget
10,2025-06-28,Travel,2118,UPI,Fuel,20000,17882,Within Budget
11,2025-04-06,Education,551,Card,Course Fee,20000,19449,Within Budget
12,2025-06-07,Shopping,840,Cash,Shoes,20000,19160,Within Budget
13,2025-05-27,Education,819,Cash,Books,20000,19181,Within Budget
14,2025-04-14,Travel,543,Net Banking,Fuel,20000,19457,Within Budget
15,2025-06-24,Entertainment,2377,Cash,Movie Tickets,20000,17623,Within Budget
16,2025-05-14,Shopping,667,UPI,Online Shopping,20000,19333,Within Budget
17,2025-06-10,Bills,741,Net Banking,Electricity Bill,20000,19259,Within Budget
18,2025-03-11,Travel,4170,Card,Bus Tickets,20000,15830,Within Budget
19,2025-05-02,Food,202,Net Banking,Groceries,20000,19798,Within Budget
20,2025-03-21,Shopping,4627,UPI,Accessories,20000,15373,Within Budget
21,2025-06-26,Education,4224,Net Banking,Books,20000,15776,Within Budget
22,2025-03-05,Entertainment,4484,Card,OTT Subscription,20000,15516,Within Budget
23,2025-05-14,Shopping,1640,UPI,Accessories,20000,18360,Within Budget
24,2025-05-16,Travel,3667,Card,Cab Fare,20000,16333,Within Budget
25,2025-06-25,Travel,453,UPI,Fuel,20000,19547,Within Budget
26,2025-03-06,Food,1741,Cash,Snacks,20000,18259,Within Budget
27,2025-03-04,Shopping,4768,Net Banking,Accessories,20000,15232,Within Budget
28,2025-06-08,Bills,2264,UPI,Mobile Recharge,20000,17736,Within Budget
29,2025-03-11,Health,1931,Card,Doctor Consultation,20000,18069,Within Budget
30,2025-02-07,Entertainment,4764,UPI,OTT Subscription,20000,15236,Within Budget
31,2025-03-30,Education,2373,Card,Course Fee,20000,17627,Within Budget
